date,avg_temp,wind_sp,rel_hum,max_temp,min_temp,atm_press,global_rad,total_col_vat_wap_kg
20230505,14.7,1.2,50,21.8,4.6,95.89,26761,11.58
20230521,20.1,1.1,62,27.0,6.0,95.82,26662,21.19
20230522,18.3,1.2,58,26.0,10.9,95.55,27696,21.97
20230529,19.0,2.4,44,23.8,9.4,95.84,29086,11.21
20230530,18.5,2.6,44,22.7,14.4,96.06,25099,16.50
20230622,24.5,2.4,70,30.5,16.1,95.86,26512,33.48
20230708,22.2,1.3,47,30.1,10.2,96.25,28843,13.41
20230709,23.0,0.6,39,30.7,12.7,96.16,29709,17.65
20230910,20.1,1.2,72,27.9,11.9,95.95,19892,15.88
20230911,21.7,1.2,68,28.7,12.4,95.63,15935,21.25
20230926,19.2,1.0,77,26.7,11.5,96.41,15763,22.22
20230927,17.9,1.2,70,26.6,11.8,96.31,16103,15.72
20231005,11.1,1.3,74,19.4,5.4,96.36,11985,14.16
20231021,18.4,1.1,68,22.7,15.0,94.26,10184,22.37


